Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company,Total Ratings,Total Reviews Extracted
Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light...,56490.0,38990.0,30,4.2,"4,227 Ratings & 376 Reviews",Lenovo,4227,376
DELL Inspiron 5630 Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5630 Lap...,77768.0,63490.0,18,5.0,7 Ratings & 2 Reviews,DELL,7,2
Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IM...,101090.0,77990.0,22,4.1,293 Ratings & 34 Reviews,Lenovo,293,34
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,49999.0,31990.0,36,4.2,"1,192 Ratings & 108 Reviews",Acer,1192,108
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,68323.0,36900.0,45,4.0,235 Ratings & 25 Reviews,Acer,235,25
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 C...,32990.0,13990.0,57,3.8,"2,583 Ratings & 227 Reviews",ASUS,2583,227
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Grap...,142999.0,114990.0,19,4.4,72 Ratings & 10 Reviews,Acer,72,10
HP Pavilion AI PC Intel Core Ultra 7 155U - (16 GB/512 GB SSD/Windows 11 Home) 16-af0028TU Thin and Li...,104048.0,84490.0,18,0.0,nan,HP,0,0
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) 14Q8X9 Thin and...,125890.0,64990.0,48,4.2,63 Ratings & 13 Reviews,Lenovo,63,13
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light...,63000.0,43990.0,30,4.3,485 Ratings & 30 Reviews,Acer,485,30
Lenovo LOQ Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,172090.0,109990.0,36,4.9,9 Ratings & 0 Reviews,Lenovo,9,0
SAMSUNG Galaxy Book4 Pro Evo AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) NP940X...,160989.0,139990.0,13,4.6,51 Ratings & 5 Reviews,SAMSUNG,51,5
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGK-KG2IN / NP750XGK-...,91989.0,69999.0,23,4.3,125 Ratings & 11 Reviews,SAMSUNG,125,11
Acer Chromebook Plus Google AI Intel Core i3 13th Gen 1315U - (8 GB/256 GB SSD/Chrome OS) CB515-2H-34Y...,52999.0,22990.0,56,3.8,174 Ratings & 18 Reviews,Acer,174,18
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7/ 15IGL7 Thin...,42290.0,24790.0,41,3.9,332 Ratings & 24 Reviews,Lenovo,332,24
Lenovo Legion 5 Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,174890.0,109990.0,37,4.6,160 Ratings & 18 Reviews,Lenovo,160,18
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,33999.0,17990.0,47,3.9,397 Ratings & 60 Reviews,Acer,397,60
SAMSUNG Galaxy Book4 360 Evo Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750QGK-KG1IN / N...,132239.0,114990.0,13,4.4,42 Ratings & 3 Reviews,SAMSUNG,42,3
DELL Inspiron 5640 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5640 Lap...,75844.0,63990.0,15,0.0,nan,DELL,0,0
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,43999.0,28990.0,34,4.2,"12,916 Ratings & 955 Reviews",Acer,12916,955
ASUS Vivobook S 15 Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Home) K5504VAB-BN417WS...,110990.0,83990.0,24,4.5,81 Ratings & 8 Reviews,ASUS,81,8
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,54990.0,36990.0,32,4.3,"12,142 Ratings & 950 Reviews",ASUS,12142,950
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light L...,44990.0,27990.0,37,4.1,359 Ratings & 57 Reviews,Acer,359,57
HP AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU Thin and Light Laptop,56831.0,43990.0,22,4.0,24 Ratings & 4 Reviews,HP,24,4
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Thin and Light L...,32790.0,23650.0,27,3.8,"1,442 Ratings & 124 Reviews",Lenovo,1442,124
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,56990.0,47800.0,16,4.2,351 Ratings & 37 Reviews,Acer,351,37
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ323WS Thin...,57990.0,36990.0,36,4.3,23 Ratings & 3 Reviews,ASUS,23,3
Acer Aspire Lite Multicolor Backlit AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) A...,60496.0,34590.0,42,4.0,873 Ratings & 76 Reviews,Acer,873,76
